,label,win,points,aces,dealer card,round,game number
1653,1,True,9,0,8,0,1356
1654,1,True,11,0,8,1,1356
1655,1,True,7,0,11,0,1357
1656,0,True,17,0,11,1,1357
1657,0,True,19,0,5,0,1358
1661,0,True,15,1,10,0,1361
1662,0,True,19,0,4,0,1362
1664,0,True,20,0,7,0,1365
1666,0,True,18,0,11,0,1367
1668,0,True,18,0,5,0,1369
1671,0,True,19,0,10,0,1371
1672,0,True,16,0,2,0,1372
1673,0,True,20,0,7,0,1373
1674,1,True,10,0,8,0,1375
1675,1,True,15,0,2,0,1376
1676,0,True,20,0,2,1,1376
1695,0,True,20,0,11,0,1393
1697,1,True,9,0,8,0,1395
1698,0,True,19,0,8,1,1395
1699,0,True,18,0,6,0,1396
1700,0,True,19,1,10,0,1397
1705,0,True,18,0,9,0,1402
1708,0,True,14,0,10,0,1406
1709,0,True,19,0,6,0,1407
1710,0,True,16,0,8,0,1408
1714,1,True,11,0,4,0,1411
1715,1,True,15,1,5,0,1412
1716,0,True,20,1,5,1,1412
1717,1,True,16,0,3,0,1413
1718,0,True,19,0,3,1,1413
1720,1,True,10,0,4,0,1415
1722,0,True,20,0,5,0,1417
1725,0,True,16,0,4,0,1419
1728,1,True,12,0,10,0,1423
1733,1,True,10,0,3,0,1430
1734,1,True,20,0,3,1,1430
1740,0,True,19,1,3,0,1435
1746,0,True,18,0,2,0,1440
1747,0,True,20,0,6,0,1441
1757,1,True,13,0,9,0,1448
1761,1,True,7,0,9,0,1452
1762,0,True,17,0,9,1,1452
1766,0,True,19,1,3,0,1456
1774,0,True,20,0,3,0,1463
1776,0,True,20,0,6,0,1467
1779,1,True,17,1,8,0,1470
1780,0,True,19,1,8,1,1470
1786,0,True,19,0,10,0,1475
1787,1,True,6,0,10,0,1476
1788,0,True,17,1,10,1,1476
1794,0,True,20,0,7,0,1480
1801,0,True,20,0,10,0,1485
1808,0,True,16,0,5,0,1489
1811,0,True,16,0,6,0,1491
1814,0,True,19,0,5,0,1494
1815,0,True,16,0,5,0,1495
1817,0,True,20,0,10,0,1497
1825,0,True,16,0,3,0,1503
1827,1,True,7,0,5,0,1505
1828,1,True,17,0,5,1,1505
1839,1,True,12,0,4,0,1516
1840,0,True,18,0,4,1,1516
1843,1,True,16,0,10,0,1520
1844,0,True,20,0,10,1,1520
1849,0,True,19,1,10,0,1525
1865,0,True,20,0,10,0,1538
1872,1,True,13,0,2,0,1543
1873,0,True,19,0,2,1,1543
1874,0,True,20,0,10,0,1544
1876,0,True,18,0,9,0,1546
1878,0,True,16,0,10,0,1549
1884,0,True,19,0,8,0,1553
1886,1,True,11,0,6,0,1555
1887,1,True,14,0,8,0,1557
1905,0,True,20,0,8,0,1573
1908,0,True,15,1,10,0,1576
1917,1,True,10,0,2,0,1585
1918,0,True,13,0,2,1,1585
1919,0,True,20,0,3,0,1586
1930,1,True,8,0,7,0,1596
1931,1,True,11,0,7,1,1596
1940,0,True,19,0,11,0,1602
1954,1,True,15,0,10,0,1614
1956,0,True,18,0,6,0,1616
1957,0,True,20,1,10,0,1617
1960,1,True,20,0,10,0,1619
1967,1,True,17,1,6,0,1627
1968,0,True,17,1,6,1,1627
1993,1,True,12,0,9,0,1647
1994,1,True,20,0,9,1,1647
1998,1,True,16,0,10,0,1652
1999,0,True,18,0,8,0,1654
2007,0,True,20,0,9,0,1662
2008,0,True,17,0,10,0,1663
2017,0,True,13,0,10,0,1669
2020,1,True,8,0,3,0,1672
2021,0,True,18,0,3,1,1672
2035,1,True,16,0,4,0,1683
2036,0,True,20,0,4,1,1683
2037,0,True,19,0,10,0,1684
2042,0,True,17,0,7,0,1689
2044,0,True,18,0,3,0,1691
2046,1,True,13,0,4,0,1693
2047,0,True,20,0,4,1,1693
2050,0,True,19,0,10,0,1696
2054,0,True,14,0,10,0,1698
2058,1,True,15,0,10,0,1701
2064,1,True,13,0,7,0,1706
2065,0,True,19,0,7,1,1706
2079,0,True,17,0,5,0,1719
2081,1,True,10,0,5,0,1722
2082,0,True,18,0,5,1,1722
2088,0,True,20,1,8,0,1725
2090,1,True,9,0,6,0,1727
2091,0,True,19,0,6,1,1727
2099,1,True,10,0,8,0,1735
2102,0,True,18,0,3,0,1738
2105,1,True,10,0,2,0,1740
2106,0,True,20,0,2,1,1740
2107,0,True,19,0,7,0,1741
2108,0,True,19,0,6,0,1742
2112,1,True,10,0,5,0,1746
2113,0,True,17,0,5,1,1746
